number,species,species_specimen,scale,Family,feeding,start_line,end_line
1,Antennarius_hispidus,Antennarius_hispidus_2,132.1855,Antennariidae,suction,1,210
2,Antennarius_hispidus,Antennarius_hispidus_2,132.1855,Antennariidae,suction,211,420
3,Antennarius_hispidus,Antennarius_hispidus_2,132.1855,Antennariidae,suction,421,630
4,Antennarius_hispidus,Antennarius_hispidus_2,106.409,Antennariidae,suction,631,840
5,Caranx_sexfasciatus,Caranx_sexfasciatus_1,91.0879,Carangidae,suction,841,1050
6,Caranx_sexfasciatus,Caranx_sexfasciatus_1,87.8237,Carangidae,suction,1051,1260
7,Caranx_sexfasciatus,Caranx_sexfasciatus_1,87.8237,Carangidae,suction,1261,1470
8,Caranx_sexfasciatus,Caranx_sexfasciatus_3,79,Carangidae,suction,1471,1680
9,Caranx_sexfasciatus,Caranx_sexfasciatus_3,72.293,Carangidae,suction,1681,1890
10,Caranx_sexfasciatus,Caranx_sexfasciatus_3,84.0952,Carangidae,suction,1891,2100
11,Caranx_sexfasciatus,Caranx_sexfasciatus_4,68.0074,Carangidae,suction,2101,2310
12,Caranx_sexfasciatus,Caranx_sexfasciatus_4,88.0057,Carangidae,suction,2311,2520
13,Centrogenys_species,Centrogenys_species_3,71.007,Centrogenidae,suction,2521,2730
14,Centrogenys_species,Centrogenys_species_3,63.0317,Centrogenidae,suction,2731,2940
15,Centrogenys_species,Centrogenys_species_3,89.3588,Centrogenidae,suction,2941,3150
16,Chaetodon_lunula,Chaetodon_lunula_1,66.102,Chaetodontidae,bite,3151,3360
17,Chaetodon_lunula,Chaetodon_lunula_1,66.102,Chaetodontidae,bite,3361,3570
18,Chaetodon_lunula,Chaetodon_lunula_1,66.102,Chaetodontidae,bite,3571,3780
19,Choerodon_cyanodus,Choerodon_cyanodus_1,52.3715,Labridae,suction,3781,3990
20,Choerodon_cyanodus,Choerodon_cyanodus_1,55.364,Labridae,suction,3991,4200
21,Choerodon_cyanodus,Choerodon_cyanodus_1,55.364,Labridae,suction,4201,4410
22,Chromileptes_altivelis,Chromileptes_altivelis_2,55.167,Serranidae,suction,4411,4620
23,Chromileptes_altivelis,Chromileptes_altivelis_2,55.167,Serranidae,suction,4621,4830
24,Chromileptes_altivelis,Chromileptes_altivelis_2,55.167,Serranidae,suction,4831,5040
25,Chromis_cyanea,Chromis_cyanea_1,80.576,Pomacentridae,suction,5041,5250
26,Chromis_cyanea,Chromis_cyanea_1,80.576,Pomacentridae,suction,5251,5460
27,Chromis_cyanea,Chromis_cyanea_1,80.576,Pomacentridae,suction,5461,5670
28,Chromis_cyanea,Chromis_cyanea_3,128.7517,Pomacentridae,suction,5671,5880
29,Chromis_cyanea,Chromis_cyanea_3,128.7517,Pomacentridae,suction,5881,6090
30,Chromis_cyanea,Chromis_cyanea_3,128.7517,Pomacentridae,suction,6091,6300
31,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_1,89.778,Cirrhitidae,suction,6301,6510
32,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_1,89.778,Cirrhitidae,suction,6511,6720
33,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_1,77.8781,Cirrhitidae,suction,6721,6930
34,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_2,85.0529,Cirrhitidae,suction,6931,7140
35,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_2,85.0529,Cirrhitidae,suction,7141,7350
36,Cyprinocirrhites_polyactis,Cyprinocirrhites_polyactis_2,85.0529,Cirrhitidae,suction,7351,7560
37,Dactylopus_dactylopus,Dactylopus_dactylopus_3,67,Callionymidae,suction,7561,7770
38,Dactylopus_dactylopus,Dactylopus_dactylopus_3,91.2688,Callionymidae,suction,7771,7980
39,Dactylopus_dactylopus,Dactylopus_dactylopus_3,91.2688,Callionymidae,suction,7981,8190
40,Dactylopus_dactylopus,Dactylopus_dactylopus_1,76,Callionymidae,suction,8191,8400
41,Dactylopus_dactylopus,Dactylopus_dactylopus_1,101,Callionymidae,suction,8401,8610
42,Dactylopus_dactylopus,Dactylopus_dactylopus_1,101,Callionymidae,suction,8611,8820
43,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_18,120.8139,Haemulidae,suction,8821,9030
44,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_18,107.0747,Haemulidae,suction,9031,9240
45,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_18,157.0287,Haemulidae,suction,9241,9450
46,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_3,94.508,Haemulidae,suction,9451,9660
47,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_3,130.384,Haemulidae,suction,9661,9870
48,Emmelichthyops_atlanticus,Emmelichthyops_atlanticus_3,117.686,Haemulidae,suction,9871,10080
49,Epibulus_insidiator,Epibulus_insidiator_1,78.567,Labridae,suction,10081,10290
50,Epibulus_insidiator,Epibulus_insidiator_1,78.567,Labridae,suction,10291,10500
51,Epibulus_insidiator,Epibulus_insidiator_1,78.567,Labridae,suction,10501,10710
52,Epinephelus_ongus,Epinephelus_ongus_2,102.2008,Serranidae,suction,10711,10920
